author,comment,like_count
@alperenyldrm9465,"Ah başkanım ne dediysen bir bir doğru çıkıyor bilemediler değerini, en büyük Fenerbahçeli..",39
@FBMESUTOZILkadkoy,FB,0
@cansz5085,"Alexi yolladınız fenerbahçeyi taraftarı katleddiniz.
Fenerbahçe öyle büyük bir takımdır şampiyon olsa dahi eleştirir",2
@derivativesolver23,"Fenerbahçe 19 da durdu, Liverpool da 19u aldı umarım 19da durmaz",0
@gamersutudyolari2059,Fenerbahce ananin amii ananin amiii,0
@m-f8610,"1:23 Galatasaraylı olarak söyliyeyim yanlış anlamadıysam Alex için Fenerbahçe'ye faydası olmayacağı için gönderdim diyor
Alex her ne kadar Fb'li olsada o çok iyi bir futbolcu nasıl gönderilir lan :S :D",6
@ismailcakrca8813,PARALI GARİPLER DAHA O SENEDEN BAŞKA HEP MİLLETİN ŞAMPİYONLUĞUNU İZLEDİLER😃😃😃💛❤,0
@adiosbelleza,vay amına koyam bu takımın her şeyi faul amk asdklşfmasdlkfmasdşlkmasdf kutlamaya bak sadkfmşlafsdmk,0
@solacksuleyman1071,Aziz yıldırımdaki taşağa bak everest bile küçük kalır,2
@GungorrBektass,Elex i gönderener :!!!,0
@ultraslan1478,Şikebahçe,1
@berkaysar6687,PAVALI KOPEKLER,0
@THELIONSOLDIERSOF,Sampiyonluk kutlamaya bak rezilbahce🤢🤮,0
@canerberber7837,Ben kendi şahsima konuşuyorum galatasaraylı olarak bu adamın değeri bilinmedi...,5
@Gurkancetin40,Reis kime kızıyor,0
@enesozen2475,Ne oldu ki anlamadım,0
@eyuputku2704,ne alexmiş amk ya,1
@onurtunc1986,noldu da kızıyor,1
@ilhamiural3744,Büyük baskan,0
@abbassadicaykara8391,Bu yorumu buraya bırakıyorum bizim taraftar mal adam konuşma yapıyor ordan ses yapıyorsunuz ayıp,2
@serhataskar6768,Niye terbiyesizlik etmeyin diyor tezahüratlar da ne diyorlar ki,0
@emreutku4242,2027 28 de bidaha sampiyon oluriz,0
@hazimakbatur2666,"Bir GS li olarak Aziz Yıldırım'ın Fenerbahçe Spor Kulübüne çok emeği geçtiğini düşünüyorum. Sportif anlamda başarılı mı değil mi o sizin takdiriniz. Ancak bu beyefendi bu kulüp için çok çaba ve emek harcadı. Yeri geldi sahaya indi, yeri geldi soyunma odasına indi yeri geldi antrenmana geldi. Herşeyi Fener in iyiliği, esenliği, başarısı için yaptı. İstese oturur sesini çıkarmazdı. Unutmayalım ki  hiçbir kulübün televizyonu yokken Fenerin vardı. Tesisleri, stadı söylemiyorum bile. Ne olursa olsun bu şekilde bırakılmamalıydı.",36
@emreutku4242,2027 28 de bidaha olcaz gorursunuz,0
